"Step","rnn_grid_2 - Max deterministic score from rollout of 1000 steps","rnn_grid_2 - Max deterministic score from rollout of 1000 steps__MIN","rnn_grid_2 - Max deterministic score from rollout of 1000 steps__MAX","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps__MIN","rnn_grid_discrete_half_annealing - Max deterministic score from rollout of 1000 steps__MAX"
"2584","3","3","3","5","5","5"
"2589","8","8","8","12","12","12"
"2594","2","2","2","12","12","12"
"2599","11","11","11","6","6","6"
"2604","6","6","6","14","14","14"
"2609","1","1","1","3","3","3"
"2614","1","1","1","2","2","2"
"2619","4","4","4","1","1","1"
"2624","8","8","8","15","15","15"
"2629","2","2","2","13","13","13"
"2634","1","1","1","2","2","2"
"2639","3","3","3","15","15","15"
"2644","2","2","2","13","13","13"
"2649","1","1","1","13","13","13"
"2654","5","5","5","12","12","12"
"2659","2","2","2","7","7","7"
"2664","3","3","3","9","9","9"
"2669","5","5","5","2","2","2"
"2674","1","1","1","4","4","4"
"2679","3","3","3","10","10","10"
"2684","2","2","2","8","8","8"
"2689","4","4","4","7","7","7"
"2694","1","1","1","3","3","3"
"2699","1","1","1","13","13","13"
"2704","5","5","5","9","9","9"
"2709","4","4","4","2","2","2"
"2714","1","1","1","15","15","15"
"2719","9","9","9","13","13","13"
"2724","3","3","3","1","1","1"
"2729","2","2","2","11","11","11"
"2734","4","4","4","6","6","6"
"2739","2","2","2","14","14","14"
"2744","3","3","3","1","1","1"
"2749","7","7","7","9","9","9"
"2754","5","5","5","7","7","7"
"2759","1","1","1","10","10","10"
"2764","1","1","1","8","8","8"
"2769","2","2","2","16","16","16"
"2774","4","4","4","11","11","11"
"2779","1","1","1","3","3","3"
"2784","1","1","1","17","17","17"
"2789","3","3","3","15","15","15"
"2794","5","5","5","12","12","12"
"2799","1","1","1","6","6","6"
"2804","7","7","7","2","2","2"
"2809","1","1","1","2","2","2"
"2814","2","2","2","9","9","9"
"2819","2","2","2","16","16","16"
"2824","1","1","1","9","9","9"
"2829","1","1","1","12","12","12"
"2834","1","1","1","3","3","3"
"2839","1","1","1","19","19","19"
"2844","2","2","2","2","2","2"
"2849","2","2","2","4","4","4"
"2854","7","7","7","12","12","12"
"2859","5","5","5","14","14","14"
"2864","1","1","1","6","6","6"
"2869","1","1","1","3","3","3"
"2874","1","1","1","9","9","9"
"2879","2","2","2","10","10","10"
"2884","2","2","2","4","4","4"
"2889","8","8","8","16","16","16"
"2894","3","3","3","10","10","10"
"2899","4","4","4","1","1","1"
"2904","5","5","5","6","6","6"
"2909","6","6","6","12","12","12"
"2914","3","3","3","4","4","4"
"2919","1","1","1","2","2","2"
"2924","4","4","4","9","9","9"
"2929","4","4","4","1","1","1"
"2934","4","4","4","11","11","11"
"2939","9","9","9","11","11","11"
"2944","9","9","9","2","2","2"
"2949","1","1","1","1","1","1"
"2954","2","2","2","12","12","12"
"2959","3","3","3","12","12","12"
"2964","2","2","2","3","3","3"
"2969","3","3","3","11","11","11"
"2974","1","1","1","5","5","5"
"2979","1","1","1","5","5","5"
"2984","4","4","4","13","13","13"
"2989","10","10","10","6","6","6"
"2994","2","2","2","12","12","12"
"2999","5","5","5","4","4","4"
"3004","2","2","2","7","7","7"
"3009","2","2","2","1","1","1"
"3014","9","9","9","3","3","3"
"3019","4","4","4","2","2","2"
"3024","7","7","7","14","14","14"
"3029","2","2","2","15","15","15"
"3034","7","7","7","3","3","3"
"3039","1","1","1","4","4","4"
"3044","4","4","4","14","14","14"
"3049","1","1","1","6","6","6"
"3054","3","3","3","10","10","10"
"3059","5","5","5","16","16","16"
"3064","3","3","3","1","1","1"
"3069","4","4","4","11","11","11"
"3074","8","8","8","15","15","15"
"3079","3","3","3","11","11","11"
"3084","3","3","3","11","11","11"
"3089","2","2","2","22","22","22"
"3094","4","4","4","2","2","2"
"3099","10","10","10","4","4","4"
"3104","2","2","2","12","12","12"
"3109","2","2","2","14","14","14"
"3114","1","1","1","12","12","12"
"3119","9","9","9","15","15","15"
"3124","4","4","4","8","8","8"
"3129","4","4","4","5","5","5"
"3134","3","3","3","14","14","14"
"3139","3","3","3","2","2","2"
"3144","2","2","2","3","3","3"
"3149","3","3","3","14","14","14"
"3154","6","6","6","14","14","14"
"3159","8","8","8","10","10","10"
"3164","4","4","4","14","14","14"
"3169","12","12","12","12","12","12"
"3174","11","11","11","6","6","6"
"3179","1","1","1","7","7","7"
"3184","1","1","1","4","4","4"
"3189","2","2","2","16","16","16"
"3194","2","2","2","8","8","8"
"3199","12","12","12","6","6","6"
"3204","2","2","2","6","6","6"
"3209","1","1","1","1","1","1"
"3214","2","2","2","6","6","6"
"3219","1","1","1","14","14","14"
"3224","1","1","1","7","7","7"
"3229","1","1","1","13","13","13"
"3234","1","1","1","3","3","3"
"3239","3","3","3","15","15","15"
"3244","5","5","5","11","11","11"
"3249","2","2","2","14","14","14"
"3254","8","8","8","7","7","7"
"3259","2","2","2","10","10","10"
"3264","5","5","5","11","11","11"
"3269","5","5","5","12","12","12"
"3274","6","6","6","1","1","1"
"3279","7","7","7","15","15","15"
"3284","1","1","1","5","5","5"
"3289","6","6","6","14","14","14"
"3294","1","1","1","6","6","6"
"3299","5","5","5","12","12","12"
"3304","2","2","2","17","17","17"
"3309","1","1","1","17","17","17"
"3314","1","1","1","14","14","14"
"3319","5","5","5","3","3","3"
"3324","6","6","6","1","1","1"
"3329","4","4","4","8","8","8"
"3334","2","2","2","3","3","3"
"3339","6","6","6","12","12","12"
"3344","2","2","2","1","1","1"
"3349","5","5","5","9","9","9"
"3354","5","5","5","11","11","11"
"3359","4","4","4","11","11","11"
"3364","1","1","1","15","15","15"
"3369","6","6","6","9","9","9"
"3374","1","1","1","5","5","5"
"3379","2","2","2","3","3","3"
"3384","3","3","3","5","5","5"
"3389","3","3","3","8","8","8"
"3394","1","1","1","2","2","2"
"3399","1","1","1","5","5","5"
"3404","4","4","4","12","12","12"
"3409","1","1","1","14","14","14"
"3414","1","1","1","13","13","13"
"3419","1","1","1","14","14","14"
